Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Album Genres,Label,Copyrights,0.2376100185
spotify:track:7BdtdBfrIufJOOCdA0CeJC,00000 Million,spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,spotify:album:1PgfRdl3lPyACfUGH4pquG,"22, A Million",spotify:artist:4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,2016-09-30,https://i.scdn.co/image/ab67616d0000b273011bea9a2b6b25b84a1f611c,1,10,233982,,FALSE,0,US38Y1630010,,2016-10-14T03:42:14Z,"chamber pop,eau claire indie,indie folk,melancholia,modern rock",0.384,0.103,5,-17.051,1,0.0381,0.977,0.0000804,0.0845,0.298,127.828,4,,Jagjaguwar,"C 2016 Jagjaguwar, P 2016 Jagjaguwar",
spotify:track:3wWZfpPJXnW5cS6ULwdJqW,Saturday Night Inside Out,spotify:artist:3C8RpaI3Go0yFF9whvKoED,The Avalanches,spotify:album:0j0djiGxLnBiW7meVc2PER,Wildflower,spotify:artist:3C8RpaI3Go0yFF9whvKoED,The Avalanches,2016-07-08,https://i.scdn.co/image/ab67616d0000b27383cd9f1352bc315536480be6,1,21,307238,https://p.scdn.co/mp3-preview/d4156a97b61af96dc26a83f9ba72420ea1ea240b?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,31,AUUM71600230,,2016-07-19T04:41:54Z,"australian alternative rock,australian dance,collage pop,electronica,indietronica,new rave,psychedelic hip hop",0.62,0.818,2,-9.003,0,0.0522,0.485,0.775,0.337,0.57,113.601,4,,Universal Music Australia Pty. Ltd.,"C © 2016 Modular Recordings Pty Limited, under exclusive licence to Universal Music Australia Pty Limited, P ℗ 2016 Modular Recordings Pty Limited, under exclusive licence to Universal Music Australia Pty Limited",
spotify:track:2TD9wVSR6dKi7R0arHRFWT,The Sideshow (feat. Ernie Fresh),"spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:2LU0KRNisE5znXhFmwH8EJ","DJ Shadow, Ernie Fresh",spotify:album:2OW3iDsmS98lTqgta5Zv0O,The Mountain Will Fall,spotify:artist:5CE2IfdYZEQGIDsfiRm8SI,DJ Shadow,2016-06-24,https://i.scdn.co/image/ab67616d0000b2730578a29ab483d35a604fe0c7,1,5,208308,,FALSE,0,QM8RL1400328,,2016-10-14T03:42:07Z,"downtempo,electronica,instrumental hip hop,trip hop",0.82,0.809,7,-8.283,1,0.196,0.0275,0.137,0.308,0.284,101.015,4,,Mass Appeal Records,"C (C) 2016 Reconstruction Productions, Inc. under exclusive license to Mass Appeal Records",
spotify:track:5ckHJCDziHNMdhwRLH4HSu,Something's In My Room,spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf,Cliff Martinez,spotify:album:4X22NcUe9j90y0IQsbFV24,The Neon Demon (Original Motion Picture Soundtrack),spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf,Cliff Martinez,2016-06-24,https://i.scdn.co/image/ab67616d0000b2730186409224733160b95d1c4f,1,20,172941,,FALSE,0,US5941406218,,2016-07-04T14:59:50Z,soundtrack,0.623,0.0708,7,-15.463,1,0.0346,0.907,0.839,0.102,0.0326,79.993,4,,Milan Records,"C © 2016 Space Rocket / Wild Bunch / Gaumont under exclusive license to Milan Entertainment Inc., P ℗ 2016 Space Rocket / Wild Bunch / Gaumont under exclusive license to Milan Entertainment Inc.",
spotify:track:4IqzisHbCIFtAWD6abEfb2,Messenger Walks Among Us,spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf,Cliff Martinez,spotify:album:4X22NcUe9j90y0IQsbFV24,The Neon Demon (Original Motion Picture Soundtrack),spotify:artist:2OVqg3lxC8ZIf0vHcEqaCf,Cliff Martinez,2016-06-24,https://i.scdn.co/image/ab67616d0000b2730186409224733160b95d1c4f,1,11,372934,,FALSE,0,US5941406209,,2016-07-04T14:59:50Z,soundtrack,0.412,0.293,7,-14.466,0,0.0384,0.785,0.819,0.118,0.0599,131.025,5,,Milan Records,"C © 2016 Space Rocket / Wild Bunch / Gaumont under exclusive license to Milan Entertainment Inc., P ℗ 2016 Space Rocket / Wild Bunch / Gaumont under exclusive license to Milan Entertainment Inc.",
spotify:track:1VZ1871r29ZVdHjp6CVuEa,Connect the Dots (The Saga of Frank Sinatra),spotify:artist:5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,spotify:album:0czBomMxaMCzanUaFhESOW,Teens Of Denial,spotify:artist:5PbpKlxQE0Ktl5lcNABoFf,Car Seat Headrest,2016-05-20,https://i.scdn.co/image/ab67616d0000b27331f15d11cadb2af5dac0121a,1,11,367133,,FALSE,0,USMTD1607737,,2016-05-25T18:47:56Z,"furry,indie pop,indie rock,pov: indie",0.247,0.769,9,-7.591,1,0.0991,0.0247,0.0251,0.0507,0.216,163.863,4,,Matador,"C 2016 Matador Records Limited, P 2016 Matador Records Limited",
spotify:track:4CzTgOmc3Sdm4EgKQWzjQl,Ful Stop,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,spotify:album:6vuykQgDLUCiZ7YggIpLM9,A Moon Shaped Pool,spotify:artist:4Z8W4fKeB5YxbusRsdQVPb,Radiohead,2016-05-08,https://i.scdn.co/image/ab67616d0000b2730365011d800890bd210dd043,1,5,367348,,FALSE,0,GBBKS1600075,,2016-11-28T18:47:30Z,"alternative rock,art rock,melancholia,oxford indie,permanent wave,rock",0.426,0.661,0,-9.877,1,0.0503,0.353,0.94,0.619,0.178,151.191,3,,XL Recordings,"C 2016 LLLP LLP under exclusive license to XL Recordings Ltd., P 2016 LLLP LLP under exclusive license to XL Recordings Ltd.",
spotify:track:7t8wK48eDcNaxug5ZixHaC,Sleeping Bear,spotify:artist:37px0xIkqWfzGRK5QbTIRu,Gabby's World,spotify:album:4UvtLTI9N6b9IvWZZ0Fpxs,Year Of The Rabbit,spotify:artist:37px0xIkqWfzGRK5QbTIRu,Gabby's World,2016-04-15,https://i.scdn.co/image/ab67616d0000b27304eda0216eaf7a9b439bba9b,1,6,229687,,FALSE,0,QMCE71300893,,2016-05-08T20:08:41Z,bubblegrunge,0.444,0.476,5,-12.634,1,0.0549,0.726,0.00172,0.0989,0.189,80.279,1,,Double Double Whammy,"C 2016 Double Double Whammy, P 2016 Double Double Whammy",
spotify:track:3jDrzfqmYAKJNKVRWAb6ub,Your Best American Girl,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,spotify:album:4JEylVGnD1PVJ41Wii0oO9,Your Best American Girl,spotify:artist:2uYWxilOVlUdk4oV9DvwqK,Mitski,2016-03-02,https://i.scdn.co/image/ab67616d0000b273ba61b03bbe83c54ed2fe224a,1,1,212183,,FALSE,0,USJ5G1612305,,2016-04-09T23:47:21Z,"brooklyn indie,pov: indie",0.153,0.256,7,-9.669,1,0.0343,0.0153,0.00418,0.233,0.123,61.038,4,,Dead Oceans,"C 2016 Dead Oceans, P 2016 Dead Oceans",
spotify:track:7uVXl0HtdXwicAHgZAP5WO,Vertical,spotify:artist:4kwxTgCKMipBKhSnEstNKj,Animal Collective,spotify:album:04EajKw866bzJn3EW8HOdQ,Painting With,spotify:artist:4kwxTgCKMipBKhSnEstNKj,Animal Collective,2016-02-19,https://i.scdn.co/image/ab67616d0000b2731f00f2682359113bb62faf8b,1,3,254706,https://p.scdn.co/mp3-preview/f11e8e5667ee155f598395c51921c2716bfebb12?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,22,GBCEL1500464,,2016-02-21T18:55:00Z,"alternative dance,alternative rock,art pop,baltimore indie,chillwave,dream pop,experimental pop,freak folk,indie rock,neo-synthpop,noise pop",0.616,0.908,2,-5.624,1,0.121,0.193,0.0000299,0.313,0.957,168.008,4,,Domino Recording Co,"C 2016 Domino Recording Co Ltd, P 2016 Domino Recording Co Ltd",
